dataset,marker,mean,std
hoch-rna,PDL1,1.0875529,0.95767075
hoch-rna,S100B,0.8305788,0.8150838
hoch-rna,SMA,0.7890759,0.7861015
hoch-rna,Sox10,0.5581483,0.64554393
hoch-rna,Vimentin,1.1667637,0.9366643
hoch-rna,cl.PARP,0.10731677,0.2790905
hoch-rna,pRB,1.0735041,1.1260431
jackson-basel,CD20,0.03203395,0.14933643
jackson-basel,CD3,0.027598437,0.14689226
jackson-basel,CD44,0.86953,1.171038
jackson-basel,CD45,0.048948787,0.18873025
jackson-basel,CD68,0.076832354,0.26685086
jackson-basel,CK14,0.042617332,0.17732495
jackson-basel,CK19,0.12429212,0.33071128
jackson-basel,CK5,0.034137744,0.15741834
jackson-basel,CK7,0.0542035,0.19988796
jackson-basel,CK8-18,0.17952853,0.42191496
jackson-basel,Carbonic Anhydrase,0.14815807,0.33228475
jackson-basel,DNA1,0.4230957,0.7579245
jackson-basel,DNA2,0.57175696,0.9439096
jackson-basel,EGFR,0.08582615,0.24749403
jackson-basel,EPCAM,0.10600772,0.2724353
jackson-basel,ER,0.06443376,0.21332705
jackson-basel,Ecad,0.33937725,0.5935064
jackson-basel,Fibronectin,0.3897048,0.7017485
jackson-basel,GATA3,0.12273324,0.31182933
jackson-basel,HER2 (3B5),0.22015314,0.45070943
jackson-basel,Histone H3,0.6345758,0.92756003
jackson-basel,Histone H3 - p,0.06676734,0.22568597
jackson-basel,Histone H3 - t,0.12476008,0.3167687
jackson-basel,Ki67,0.06160536,0.22028401
jackson-basel,PR,0.17445083,0.37605816
jackson-basel,SMA,0.17109677,0.49829653
jackson-basel,Slug,0.06379098,0.20816438
jackson-basel,Sox9,0.13331561,0.35090557
jackson-basel,Twist,0.058084533,0.20326768
jackson-basel,Vimentin,0.23540013,0.5863996
jackson-basel,beta-Catenin,0.038956158,0.16450284
jackson-basel,c-Caspase3c-PARP,0.17124808,0.36308768
jackson-basel,c-Myc,0.09970683,0.26847738
jackson-basel,mTOR,0.18904926,0.38787487
jackson-basel,p53,0.022884382,0.122156166
jackson-basel,pERK,0.142012,0.42854887
jackson-basel,pS6,0.39575028,0.6113909
jackson-basel,panCK,0.47522625,0.86510015
jackson-basel,vWF,0.033390164,0.15723994
jackson-zurich,CD20,0.06742663,0.21103334
jackson-zurich,CD3,0.063035734,0.20587625
jackson-zurich,CD44,1.1005716,1.296108
jackson-zurich,CD45,0.107611604,0.27295992
jackson-zurich,CD68,0.12507191,0.33600506
jackson-zurich,CK14,0.064850025,0.22144268
jackson-zurich,CK19,0.21415964,0.4603852
jackson-zurich,CK5,0.06381801,0.22435206
jackson-zurich,CK7,0.13346453,0.34443536
jackson-zurich,CK8-18,0.27780867,0.54311395
jackson-zurich,Carbonic Anhydrase,0.2101069,0.3834356
jackson-zurich,DNA1,0.40174338,0.67576516
jackson-zurich,DNA2,0.55926126,0.8541494
jackson-zurich,EGFR,0.15769807,0.33088854
jackson-zurich,EPCAM,0.21452503,0.383127
jackson-zurich,ER,0.14054503,0.3277669
jackson-zurich,Ecad,0.43711343,0.675547
jackson-zurich,Fibronectin,0.64111793,0.8924298
jackson-zurich,GATA3,0.24283415,0.47011447
jackson-zurich,HER2 (3B5),0.27282006,0.47958097
jackson-zurich,Histone H3,0.65744543,0.85328627
jackson-zurich,Histone H3 - p,0.103325896,0.27540728
jackson-zurich,Histone H3 - t,0.17936589,0.36450547
jackson-zurich,Ki67,0.10616658,0.29554367
jackson-zurich,PR,0.23401423,0.43674585
jackson-zurich,SMA,0.24559195,0.60272473
jackson-zurich,Slug,0.1567912,0.33068448
jackson-zurich,Sox9,0.22129233,0.42832905
jackson-zurich,Twist,0.13945185,0.3160941
jackson-zurich,Vimentin,0.35288045,0.7288304
jackson-zurich,beta-Catenin,0.05589225,0.19327919
jackson-zurich,c-Caspase3c-PARP,0.17611195,0.3568934
jackson-zurich,c-Myc,0.23448497,0.41030332
jackson-zurich,mTOR,0.31732926,0.5116558
jackson-zurich,p53,0.04829538,0.17332897
jackson-zurich,pERK,0.10852048,0.33636647
jackson-zurich,pS6,0.45661455,0.6246253
jackson-zurich,panCK,0.5324664,0.8858225
jackson-zurich,vWF,0.05716719,0.2044837
kucukkose,AKT,0.5406417,0.59409994
kucukkose,CD14,0.51643807,0.62406856
kucukkose,CD16,0.19683911,0.4406164
kucukkose,CD20,0.020983033,0.12997398
kucukkose,CD3,0.17109354,0.3764187
kucukkose,CD4,0.121349856,0.30781016
kucukkose,CD45,0.20182687,0.410621
kucukkose,CD45RO,0.17097677,0.39552298
kucukkose,CD68,0.20748164,0.44517642
kucukkose,CD8a,0.12364023,0.3398465
kucukkose,CTLA-4,0.20955203,0.3797736
kucukkose,ERK,0.73226035,0.7329029
kucukkose,Ecad,0.4196799,0.5616302
kucukkose,FOXP3,0.12342062,0.30863655
kucukkose,GrzB,0.22184049,0.4348303
kucukkose,Histone H3,1.9820175,1.6808537
kucukkose,ICOS,0.084775895,0.25857994
kucukkose,IFNy,0.20056495,0.39192006
kucukkose,IL10,0.545947,0.60119194
kucukkose,IL17a,0.16153744,0.36276942
kucukkose,Ki67,0.30809894,0.51263434
kucukkose,LAG3,0.052056003,0.1991259
kucukkose,NFkb,1.0996958,0.94006217
kucukkose,PD1,0.029820235,0.14612722
kucukkose,PDL1,0.08561221,0.2526536
kucukkose,SMA,0.42264655,0.7875097
kucukkose,TBET,0.2250907,0.41891968
kucukkose,beta-Catenin,0.38257152,0.5094172
kucukkose,c-Caspase3c-PARP,0.12597534,0.31868201
kucukkose,pAKT,0.14123294,0.34507883
kucukkose,pERK,0.078859575,0.25340283
kucukkose,pS6,0.39237127,0.61021906
kucukkose,pSTAT3,0.18463387,0.38784656
kucukkose,panCK,0.48672578,0.64366484
meyer,AR,0.054222994,0.20626669
meyer,Bcl2,0.048298605,0.19106753
meyer,CD11c,0.07291931,0.25288567
meyer,CD15,0.086885296,0.27568892
meyer,CD20,0.10001265,0.2905801
meyer,CD3,0.082382455,0.26173955
meyer,CD31-vWF,0.25552812,0.49416506
meyer,CD4,0.14456613,0.35501274
meyer,CD44,0.6587275,0.97144
meyer,CD45,0.34360218,0.56890625
meyer,CD68,0.08531452,0.28206316
meyer,CD8a,0.06740681,0.24462941
meyer,CK14,0.05630856,0.20155674
meyer,CK5,0.10877768,0.324737
meyer,CK7,0.10808251,0.33063087
meyer,CK8-18,0.092834614,0.2893786
meyer,Carbonic Anhydrase,0.19241624,0.41006908
meyer,DNA1,1.0898186,1.4979576
meyer,DNA2,1.2892791,1.7228844
meyer,EGFR,0.08431662,0.25901082
meyer,ER,0.1243908,0.3267336
meyer,Ecad,0.25765702,0.5401659
meyer,Fibronectin,0.56438076,0.8629648
meyer,GATA3,0.06920134,0.23417774
meyer,HER2 (3B5),0.13928486,0.3571338
meyer,HLADR,0.27462792,0.5534639
meyer,Histone H3,0.55197257,0.8254397
meyer,Histone H3 - p,0.09735103,0.2904158
meyer,Histone H3 k27me3,0.16570967,0.37566218
meyer,Ki67,0.14518753,0.4159391
meyer,PR,0.06000295,0.21746655
meyer,SMA,0.15336725,0.46837118
meyer,Vimentin,0.39781976,0.80247283
meyer,c-Caspase3c-PARP,0.084522285,0.2637129
meyer,c-Myc,0.13067928,0.32533884
meyer,mTOR,0.085744426,0.27034894
meyer,p53,0.091126,0.2706601
meyer,pS6,0.121924534,0.3304209
meyer,panCK,0.40120825,0.80839676
nsclc2-panel1,B2M,0.7810954,0.85236186
nsclc2-panel1,CD11c,0.31339654,0.6127733
nsclc2-panel1,CD14,0.95180315,0.98369426
nsclc2-panel1,CD15,0.4404363,0.814682
nsclc2-panel1,CD16,0.2176149,0.48026332
nsclc2-panel1,CD163,0.18413824,0.5116423
nsclc2-panel1,CD20,0.311165,0.58254784
nsclc2-panel1,CD206,0.30699313,0.6659219
nsclc2-panel1,CD27,0.21828239,0.44896442
nsclc2-panel1,CD3,0.2863068,0.5645606
nsclc2-panel1,CD303,0.2657507,0.49265897
nsclc2-panel1,CD33,0.6679901,0.80807513
nsclc2-panel1,CD38,0.124623634,0.35337576
nsclc2-panel1,CD4,0.50054073,0.6966742
nsclc2-panel1,CD40,0.31754366,0.5544668
nsclc2-panel1,CD45RA,0.2767068,0.5268935
nsclc2-panel1,CD45RO,0.76309454,0.944331
nsclc2-panel1,CD68,0.49630076,0.80595607
nsclc2-panel1,CD7,0.3218065,0.6133559
nsclc2-panel1,CD8a,0.24563155,0.6096131
nsclc2-panel1,Carbonic Anhydrase,0.38552853,0.6055642
nsclc2-panel1,DNA1,1.9040612,1.5781254
nsclc2-panel1,DNA2,2.2623062,1.7927098
nsclc2-panel1,Ecad,0.95261467,1.1005775
nsclc2-panel1,FOXP3,0.14228173,0.3579211
nsclc2-panel1,GrzB,0.3700204,0.5915228
nsclc2-panel1,HLADR,0.92045254,1.1350536
nsclc2-panel1,Histone H3,0.77395874,0.87552017
nsclc2-panel1,ICOS,0.17509118,0.40246168
nsclc2-panel1,Ido1,0.3415125,0.5772894
nsclc2-panel1,Ki67,0.20989831,0.53940207
nsclc2-panel1,LAG3,0.044297215,0.19248961
nsclc2-panel1,MPO,0.067843586,0.23118055
nsclc2-panel1,PD1,0.11582511,0.3279922
nsclc2-panel1,PDGFRb,0.27691993,0.53994364
nsclc2-panel1,PDL1,0.24370576,0.48283783
nsclc2-panel1,SMA,0.12203869,0.3523208
nsclc2-panel1,TCF7,0.3137136,0.5517466
nsclc2-panel1,VISTA,0.21459009,0.46645528
nsclc2-panel1,cl.PARP,0.04692895,0.20356512
nsclc2-panel2,Arg1,0.07067018,0.25940028
nsclc2-panel2,Bcl2,0.07781985,0.2491396
nsclc2-panel2,CD10,0.13155553,0.3474276
nsclc2-panel2,CD11b,0.04951313,0.23592916
nsclc2-panel2,CD11c,0.08367373,0.3041375
nsclc2-panel2,CD134,0.005468183,0.070878975
nsclc2-panel2,CD137,0.01553541,0.11584364
nsclc2-panel2,CD146,0.057433523,0.23755515
nsclc2-panel2,CD15,0.152682,0.36335734
nsclc2-panel2,CD155,0.18503053,0.4149914
nsclc2-panel2,CD20,0.032192007,0.16848364
nsclc2-panel2,CD204,0.083115146,0.33963442
nsclc2-panel2,CD209,0.02358083,0.1575658
nsclc2-panel2,CD3,0.06658651,0.2698827
nsclc2-panel2,CD31,0.031461317,0.19771808
nsclc2-panel2,CD45,0.13515571,0.39480114
nsclc2-panel2,CD56,0.0824923,0.20748103
nsclc2-panel2,CD66b,0.012980784,0.10986266
nsclc2-panel2,CD7,0.065033816,0.25072232
nsclc2-panel2,CD73,0.10585461,0.30911115
nsclc2-panel2,CD8a,0.067598745,0.319429
nsclc2-panel2,CXCL13,0.049893837,0.22198339
nsclc2-panel2,CXCL8,0.012470393,0.0999899
nsclc2-panel2,DNA1,1.4918557,1.4659138
nsclc2-panel2,DNA2,1.8061417,1.6850433
nsclc2-panel2,EGFR,0.1143295,0.30985463
nsclc2-panel2,EOMES,0.009812394,0.092255786
nsclc2-panel2,Ecad,0.4620419,0.81078625
nsclc2-panel2,FOXP3,0.012975078,0.10792715
nsclc2-panel2,GATA3,0.016913267,0.11925633
nsclc2-panel2,GITR,0.02621667,0.15520662
nsclc2-panel2,Histone H3,0.76720965,0.94140655
nsclc2-panel2,IgG,0.109489456,0.30949327
nsclc2-panel2,Ki67,0.16893591,0.39324766
nsclc2-panel2,LAMP3,0.015521408,0.12160726
nsclc2-panel2,MMP9,0.022233434,0.15655819
nsclc2-panel2,NKG2A,0.016775634,0.12241124
nsclc2-panel2,PD1,0.035952095,0.178487
nsclc2-panel2,Podoplanin,0.085206375,0.27634192
nsclc2-panel2,SMA,0.07423703,0.2670923
nsclc2-panel2,TBET,0.015829764,0.11669018
nsclc2-panel2,Tim3,0.07510293,0.26936418
nsclc2-panel2,p53,0.039940666,0.16555272
nsclc2-panel2,panCK,0.35380155,0.59986806
ohara,CD11b,0.09640341,0.26498458
ohara,CD11c,0.103659794,0.29280588
ohara,CD16,0.08427084,0.29110724
ohara,CD163,0.06488678,0.2825008
ohara,CD20,0.016548252,0.10487571
ohara,CD206,0.10378433,0.31239635
ohara,CD3,0.074894354,0.24857679
ohara,CD31,0.123983726,0.35111457
ohara,CD4,0.08840991,0.2604653
ohara,CD45,0.09232381,0.24018808
ohara,CD45RO,0.18284701,0.41327244
ohara,CD68,0.31570816,0.60224503
ohara,CD8a,0.13943957,0.33601263
ohara,CK5,0.4232941,0.7315434
ohara,Collagen Type I,0.3048947,0.613758
ohara,DNA1,1.3965206,1.8005612
ohara,DNA2,1.6310626,2.0469162
ohara,Ecad,0.44403327,0.7102655
ohara,FOXP3,0.08084431,0.23551649
ohara,GATA3,0.14696649,0.34613726
ohara,GrzB,0.11242513,0.3396354
ohara,Histone H3,0.6531263,0.99876386
ohara,Ki67,0.09760929,0.33955792
ohara,PD1,0.04092618,0.16700076
ohara,PDL1,0.087445445,0.2535075
ohara,SMA,0.21534686,0.6053147
ohara,Vimentin,0.5275408,0.9165643
ohara,panCK,0.24299325,0.49522635
rigamonti_2025,Arg1,0.11728295,0.31465045
rigamonti_2025,C1Qa,0.097527154,0.28487724
rigamonti_2025,CCR4,0.13804103,0.33985034
rigamonti_2025,CD14,0.4162776,0.660328
rigamonti_2025,CD16,0.13035887,0.34767735
rigamonti_2025,CD163,0.048909463,0.21762551
rigamonti_2025,CD20,0.011438127,0.09174012
rigamonti_2025,CD3,0.13508403,0.34906995
rigamonti_2025,CD31,0.07573254,0.26389122
rigamonti_2025,CD4,0.0669469,0.23869197
rigamonti_2025,CD45,0.14904097,0.4038707
rigamonti_2025,CD66a,0.3089502,0.6508433
rigamonti_2025,CD68,0.27729777,0.5747501
rigamonti_2025,CD8a,0.06793486,0.25691277
rigamonti_2025,CXCL4,0.11797726,0.31197354
rigamonti_2025,Collagen Type I,0.17212562,0.44952735
rigamonti_2025,DNA1,0.78137094,1.1066957
rigamonti_2025,DNA2,0.97940445,1.3211085
rigamonti_2025,FOXP3,0.10535822,0.29375616
rigamonti_2025,GrzB,0.13760675,0.38313195
rigamonti_2025,HLADR,0.3222919,0.62378436
rigamonti_2025,Ki67,0.20184828,0.47635204
rigamonti_2025,LAMP3,0.305711,0.5575512
rigamonti_2025,MS4A4A,0.010809938,0.08895681
rigamonti_2025,S100a8,0.6983759,1.1356529
rigamonti_2025,SMA,0.22188078,0.5284744
rigamonti_2025,Tim3,0.32362366,0.54791903
rigamonti_2025,Vimentin,0.30745956,0.6594157
rigamonti_2025,panCK,0.6668426,1.0704694
steenbuck-immune,ATP5A,0.6524907,0.8112574
steenbuck-immune,Arg1,0.1380058,0.3424694
steenbuck-immune,CD103,0.21180491,0.40343857
steenbuck-immune,CD11b,0.10754653,0.32465577
steenbuck-immune,CD11c,0.07676834,0.2559664
steenbuck-immune,CD15,0.2896705,0.5631189
steenbuck-immune,CD16,0.06589634,0.24238992
steenbuck-immune,CD163,0.072528,0.30117857
steenbuck-immune,CD20,0.14043476,0.34830397
steenbuck-immune,CD204,0.08486313,0.33418158
steenbuck-immune,CD206,0.0632894,0.26465958
steenbuck-immune,CD27,0.14236833,0.3336346
steenbuck-immune,CD3,0.032374207,0.18393187
steenbuck-immune,CD303,0.3070556,0.47595018
steenbuck-immune,CD4,0.16826054,0.36395934
steenbuck-immune,CD45RA,0.030360492,0.15870608
steenbuck-immune,CD45RO,0.07731427,0.26576805
steenbuck-immune,CD54,0.20303853,0.42077065
steenbuck-immune,CD56,0.16931482,0.42863223
steenbuck-immune,CD57,0.06777329,0.26706624
steenbuck-immune,CD66b,0.038701374,0.18749312
steenbuck-immune,CD7,0.081477396,0.26476973
steenbuck-immune,CD73,0.18442677,0.38163581
steenbuck-immune,CD8a,0.05231621,0.2411446
steenbuck-immune,Caveolin-1,0.29503933,0.5533571
steenbuck-immune,Cirate Synthase,1.0071194,0.8716036
steenbuck-immune,DNA1,1.2869184,1.1173843
steenbuck-immune,DNA2,1.6353647,1.2954105
steenbuck-immune,FOXP3,0.11255594,0.2973802
steenbuck-immune,GCG,0.33757806,0.54157627
steenbuck-immune,GrzB,0.2413658,0.42682886
steenbuck-immune,HLADR,0.2867266,0.56705433
steenbuck-immune,Hexokinase I,0.19204974,0.44929564
steenbuck-immune,Histone H3,1.3067907,1.0698206
steenbuck-immune,Insulin,0.13628651,0.41808918
steenbuck-immune,Ki67,0.14200844,0.34119737
steenbuck-immune,LDHA,0.43481922,0.55353063
steenbuck-immune,MPO,0.055947974,0.21420135
steenbuck-immune,NKX6-1,0.14379834,0.3574058
steenbuck-immune,PD1,0.21877924,0.42569256
steenbuck-immune,PDX1,0.39954188,0.6128653
steenbuck-immune,SMA,0.43214118,0.6287976
steenbuck-immune,SYP,0.2662728,0.6069506
steenbuck-immune,Somatostatin,0.061113223,0.2905201
steenbuck-immune,TMEM173,0.18721844,0.4227247
steenbuck-immune,Tim3,0.2737617,0.46118218
steenbuck-immune,Vimentin,0.70045364,0.88632536
steenbuck-islets,ADAR1,0.9897236,0.9647835
steenbuck-islets,AMY1A,1.278372,1.078825
steenbuck-islets,ARX,0.41866055,0.5903109
steenbuck-islets,ATPIF1,1.3359278,1.0748515
steenbuck-islets,B2M,0.633718,0.684801
steenbuck-islets,Biotin,2.0687437,0.9529763
steenbuck-islets,C-peptide,0.3138822,0.6255017
steenbuck-islets,C3,0.7752663,0.7412992
steenbuck-islets,CD155,1.0854656,0.79373294
steenbuck-islets,CD163,0.11157688,0.36787367
steenbuck-islets,CD3,0.2448785,0.42879033
steenbuck-islets,CD9,0.96994305,0.85932434
steenbuck-islets,CFTR,0.16589153,0.44596893
steenbuck-islets,CHGA,0.43340066,0.70031637
steenbuck-islets,CK19,0.6473748,1.0923265
steenbuck-islets,Carbonic Anhydrase,0.63422734,0.69451624
steenbuck-islets,Caveolin-1,0.4059943,0.61959153
steenbuck-islets,DNA1,1.4257544,1.058985
steenbuck-islets,DNA2,1.8288996,1.1923661
steenbuck-islets,ERN1,0.96580637,0.7312952
steenbuck-islets,Ecad,2.1964207,1.2713307
steenbuck-islets,FOXA2,0.79827577,0.77559274
steenbuck-islets,GCG,0.54068035,0.7007971
steenbuck-islets,GHRL,0.12693901,0.2930767
steenbuck-islets,HLA-ABC,1.2476661,0.94359934
steenbuck-islets,Histone H3,1.5863191,1.0567737
steenbuck-islets,IAPP,0.5157257,0.67089224
steenbuck-islets,Insulin,0.2834838,0.5892914
steenbuck-islets,Ki67,0.20501803,0.4035962
steenbuck-islets,MX1,1.2727709,0.7737261
steenbuck-islets,NFkb,1.3268938,0.78660375
steenbuck-islets,NKX2.2,0.280245,0.5064175
steenbuck-islets,NKX6-1,0.26736784,0.4721437
steenbuck-islets,PCSK1,0.4396896,0.5796396
steenbuck-islets,PCSK2,0.53607565,0.85621
steenbuck-islets,PDL1,2.1908095,0.9269259
steenbuck-islets,PDX1,0.5278312,0.6865653
steenbuck-islets,PPY,0.080596335,0.22793074
steenbuck-islets,Pax6,0.43280455,0.6017129
steenbuck-islets,Proglucagon,0.33333763,0.71617013
steenbuck-islets,Proinsulin,0.42730525,0.80652195
steenbuck-islets,SYP,0.5249277,0.81799906
steenbuck-islets,Somatostatin,0.12752123,0.42021853
steenbuck-islets,TXNIP,1.37238,1.243522
steenbuck-islets,Vimentin,0.922467,0.91279674
steenbuck-islets,WFS1,0.7017302,0.738711
steenbuck-islets,XBP1,0.51704067,0.5800997
susman,C-peptide,0.012967767,0.06392856
susman,CA2,0.046226878,0.121627845
susman,CD11b,0.07243174,0.1651669
susman,CD14,0.102658875,0.20120491
susman,CD20,0.017125582,0.07171462
susman,CD3,0.046449725,0.12597142
susman,CD31,0.018659001,0.0834581
susman,CD4,0.048599623,0.12804729
susman,CD44,0.029075304,0.10096722
susman,CD45,0.101293266,0.22142425
susman,CD45RO,0.056900192,0.1504067
susman,CD56,0.055910263,0.14458628
susman,CD57,0.017242052,0.07911182
susman,CD68,0.12054198,0.2427502
susman,CD8a,0.03623705,0.12189221
susman,CD99,0.25866202,0.40203145
susman,Collagen Type I,0.29695314,0.4647867
susman,DNA1,1.5454178,2.1549945
susman,DNA2,1.750642,2.40498
susman,FOXP3,0.063177295,0.14678557
susman,GCG,0.03694078,0.121559225
susman,GHRL,0.027673235,0.08805629
susman,GrzB,0.054134034,0.16160758
susman,HLA-ABC,0.16711514,0.27534583
susman,HLADR,0.17167859,0.3270983
susman,Ki67,0.03272954,0.12849817
susman,NFkb,0.03331632,0.095005974
susman,NKX6-1,0.01892813,0.077172
susman,Nestin,0.02473834,0.09562882
susman,PDX1,0.06629033,0.15666915
susman,PP,0.03318053,0.09945216
susman,Somatostatin,0.04032324,0.12777847
susman,beta-Actin,0.2210029,0.34227118
susman,pS6,0.032024186,0.10711287
susman,panCK,0.073345974,0.1925852
xu,AXL,0.04473145,0.18763654
xu,CCR4,0.08625021,0.24664788
xu,CD11b,0.14384082,0.3527957
xu,CD11c,0.16975717,0.3544171
xu,CD134,0.07263973,0.23355304
xu,CD14,0.49253345,0.63786
xu,CD16,0.14938277,0.35328054
xu,CD20,0.06138105,0.2167492
xu,CD27,0.13398534,0.32341895
xu,CD3,0.14696132,0.34624025
xu,CD38,0.11250904,0.3024561
xu,CD4,0.14279748,0.33713832
xu,CD45,0.110961094,0.29632786
xu,CD68,0.7733078,0.87289953
xu,CD74,0.23070115,0.45051393
xu,CD8a,0.14931786,0.37043622
xu,Carbonic Anhydrase,0.3484972,0.5033844
xu,Collagen Type I,0.543953,0.77889085
xu,DNA1,1.218239,1.1974738
xu,DNA2,1.5178053,1.3849472
xu,EPCAM,0.07147028,0.23401673
xu,Ecad,0.22415285,0.40465388
xu,FAP,0.14911307,0.3421408
xu,FOXP3,0.059444107,0.21288553
xu,HLADR,0.42386323,0.68982595
xu,ICOS,0.05580406,0.2227041
xu,IL7a,0.29379424,0.48671332
xu,Ido1,0.044292036,0.18858711
xu,Ki67,0.11286357,0.33303505
xu,LAG3,0.051427845,0.19440484
xu,PD1,0.040555727,0.17648494
xu,PDGFRb,0.114485644,0.3021476
xu,PDL1,0.07726144,0.2378758
xu,SMA,0.38910252,0.6200218
xu,Tim3,0.08646494,0.2640964
xu,VEGF,0.4389078,0.56927276
xu,Vimentin,1.1780053,1.1402973
